"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"14:19","yes",2,17,"-TEN 18","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"13:38","yes",3,6,"-TEN 29","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"13:24","yes",1,10,"-WAS 33","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"12:44","yes",2,7,"-WAS 36","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"12:08","yes",3,4,"-WAS 39","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"11:53","no",1,10,"-TEN 20","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"11:19","no",2,6,"-TEN 24","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"10:21","no",1,10,"-TEN 33","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"9:36","yes",2,14,"-TEN 29","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"8:52","yes",3,7,"-TEN 36","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"8:47","yes",3,7,"-TEN 36","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"8:29","no",1,10,"-WAS 19","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"8:01","yes",1,19,"-WAS 10","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"7:17","yes",2,17,"-WAS 12","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"7:13","yes",3,17,"-WAS 12","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"6:30","no",1,10,"-TEN 48","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"6:06","no",2,1,"-WAS 43","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"6:01","yes",3,1,"-WAS 43","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"5:23","no",1,10,"-WAS 40","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"4:49","no",2,7,"-WAS 37","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",1,"4:04","yes",1,10,"-WAS 13","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"3:58","yes",1,10,"-WAS 25","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"3:28","no",1,10,"-TEN 43","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"2:45","yes",2,10,"-TEN 43","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"2:03","yes",1,10,"-TEN 32","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"1:59","yes",2,10,"-TEN 32","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",1,"1:14","yes",3,8,"-TEN 30","run","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"15:00","no",2,5,"-TEN 30","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"14:06","no",1,10,"-WAS 25","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"13:56","no",1,10,"-TEN 25","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"13:15","no",2,5,"-TEN 30","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"12:26","no",1,10,"-TEN 45","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"12:01","yes",1,18,"-TEN 37","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"11:34","yes",1,23,"-TEN 32","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"10:52","yes",2,23,"-TEN 32","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"10:00","no",1,10,"-WAS 8","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"9:19","yes",2,5,"-WAS 13","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"7:36","yes",2,15,"-WAS 33","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"7:30","yes",3,15,"-WAS 33","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"7:14","no",1,10,"-TEN 19","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"6:48","no",1,14,"-TEN 15","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"6:11","yes",2,5,"-TEN 24","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"5:27","yes",3,5,"-TEN 24","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"4:42","no",1,10,"-TEN 32","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"4:00","no",1,10,"-TEN 45","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"3:20","no",2,9,"-TEN 46","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"2:44","no",1,10,"-WAS 42","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"2:03","yes",2,8,"-WAS 40","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"2:00","yes",3,8,"-WAS 40","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"1:55","no",1,10,"-WAS 21","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"1:32","no",2,6,"-WAS 17","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,":59","no",1,9,"-WAS 9","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,":54","yes",2,7,"-WAS 7","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,":10","no",1,10,"-WAS 34","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"14:55","yes",1,10,"-WAS 16","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"13:28","yes",2,5,"-TEN 45","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"12:46","yes",3,4,"-TEN 44","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"12:34","no",1,10,"-TEN 4","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"11:56","no",2,8,"-TEN 6","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"11:52","yes",3,8,"-TEN 6","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"11:00","no",1,10,"-TEN 46","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"10:23","no",2,10,"-TEN 46","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"9:32","yes",4,4,"-TEN 40","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"9:28","no",1,10,"-TEN 41","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"8:06","yes",3,16,"-TEN 35","pass","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"7:50","yes",1,10,"-WAS 20","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"7:09","yes",1,10,"-WAS 35","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"6:45","yes",2,1,"-WAS 44","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"6:06","yes",1,10,"-WAS 47","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"5:24","yes",1,10,"-TEN 33","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,"4:41","yes",2,7,"-TEN 30","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"4:36","no",1,10,"-TEN 25","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"4:18","no",2,8,"-TEN 27","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"3:27","yes",1,10,"-WAS 12","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"3:23","yes",2,15,"-WAS 17","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"2:14","yes",3,7,"-WAS 9","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"1:35","no",1,2,"-WAS 2","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",2,"1:06","no",2,1,"-WAS 1","run","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,":58","yes",1,10,"-WAS 23","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",2,":19","yes",2,8,"-WAS 25","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"15:00","yes",2,18,"-WAS 15","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"13:15","no",2,7,"-WAS 47","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"12:38","yes",3,2,"-WAS 42","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"12:35","yes",4,2,"-WAS 42","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"11:58","no",1,10,"-WAS 38","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"11:22","no",2,6,"-WAS 34","run","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"9:53","no",1,10,"-WAS 10","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"9:25","yes",2,9,"-WAS 11","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"8:38","yes",2,23,"-WAS 13","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"7:53","yes",3,9,"-WAS 27","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"7:08","no",1,15,"-TEN 20","run","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"6:30","no",2,11,"-TEN 24","pass","TEN"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,"5:43","yes",3,6,"-TEN 29","run","TEN"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"4:46","yes",1,10,"-WAS 11","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"4:05","yes",2,1,"-WAS 20","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"3:55","no",4,1,"-WAS 20","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"2:53","yes",2,1,"-WAS 31","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"2:27","yes",1,10,"-WAS 33","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"2:02","yes",2,3,"-WAS 40","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"1:58","yes",1,10,"-WAS 48","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"1:34","yes",2,5,"-TEN 47","run","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"1:07","yes",1,10,"-TEN 39","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"1:03","yes",1,20,"-TEN 49","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,"1:00","yes",2,10,"-TEN 39","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,":53","yes",1,15,"-TEN 34","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,":36","yes",2,14,"-TEN 33","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,":28","yes",1,10,"-TEN 16","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,":19","yes",1,2,"-TEN 2","pass","WAS"
"titans_at_commanders_2022_reg_5","Washington Commanders",3,":13","yes",2,2,"-TEN 2","pass","WAS"
"titans_at_commanders_2022_reg_5","Tennessee Titans",3,":06","no",1,10,"-TEN 1","run","TEN"
